,hidden layers,epochs,learning rate,R2 loss,RMSE
0,200,250,0.1,0.9679367412232116,8014.542461217088
1,200,250,0.01,0.9208482589993332,12592.30226821456
2,200,250,0.005,0.908324048727891,13551.975773716356
3,200,250,0.001,0.9157573632790845,12990.94905881036
4,200,250,0.0005,0.9305886070566833,11792.076392528332
5,200,250,0.0001,0.9572108175928354,9258.52701721573
6,100,250,0.1,0.9720230339946703,7486.4376444357795
7,100,250,0.01,0.9805485400395895,6242.391547399893
8,100,250,0.005,0.9163300495319219,12946.71715125887
9,100,250,0.001,0.9260109894038839,12174.70688319283
10,100,250,0.0005,0.9695128511203287,7815.077872570359
11,100,250,0.0001,0.9827855745560719,5872.474912292581
12,75,250,0.1,0.9734506762890786,7292.92312165487
13,75,250,0.01,0.9370640013791958,11228.570442632948
14,75,250,0.005,0.8927636290212434,14657.029376733699
15,75,250,0.001,0.9463772576435545,10364.525262994359
16,75,250,0.0005,0.9193726353559551,12709.139201415774
17,75,250,0.0001,0.971370855445571,7573.194132906902
18,50,250,0.1,0.9610575486677522,8832.558996953348
19,50,250,0.01,0.9726314858317687,7404.581441609349
20,50,250,0.005,0.9649386012998793,8380.878078156957
21,50,250,0.001,0.9317243851474616,11695.201639976534
22,50,250,0.0005,0.9144469610558882,13091.596896303157
23,50,250,0.0001,0.9006392042401496,14108.551720318212
